"Name","State","test/c_index","Notes","User","Tags","Created","Runtime","Sweep","activation","alpha","batchsize","bins","csv_path","d_gen_out","datapath","dim_hist_and_feature_path","dropout","epochs","l1_lambda","learningrate","modality","num_workers","repeating","storepath","c_index_epoch_val","c_index_last_val","c_index_max_val","epoch","test/runningloss","train/c_index","train/runningloss","valid/c_index","valid/runningloss"
"ethereal-sweep-230","finished","0.6164139161462979","-","tobias-seibel","","2023-09-16T02:27:21.000Z","928","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","PrePorpoise","2","5","/work4/seibel/data/results","7","0.6815718412399292","0.7642276287078857","40","1.415318532463561","0.9980170958492992","0.09102488767536962","0.6815718157181572","1.5213282979310845"
"rural-sweep-229","finished","0.6859946476360392","-","tobias-seibel","","2023-09-16T02:27:13.000Z","1465","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","PrePorpoise","2","4","/work4/seibel/data/results","10","0.6287263035774231","0.7560975551605225","40","1.1359211156746476","0.9927114874460732","0.14212013129667447","0.6287262872628726","1.5639127431499218"
"fiery-sweep-228","finished","0.6663693131132917","-","tobias-seibel","","2023-09-16T02:24:00.000Z","815","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","PrePorpoise","2","3","/work4/seibel/data/results","10","0.5962059497833252","0.7262872457504272","40","1.2578670934228593","1","0.04523712979791723","0.5962059620596206","1.2553813251165014"
"crisp-sweep-227","finished","0.6677074041034791","-","tobias-seibel","","2023-09-16T02:11:53.000Z","923","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","PrePorpoise","2","2","/work4/seibel/data/results","8","0.5799458026885986","0.783197820186615","40","1.3381548749574868","0.9971328277820948","0.07276171192915742","0.5799457994579946","1.6089054351062233"
"swept-sweep-226","finished","0.6253345227475469","-","tobias-seibel","","2023-09-16T02:10:26.000Z","811","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","PrePorpoise","2","1","/work4/seibel/data/results","8","0.6097561120986938","0.7371273636817932","40","1.4530199764467016","0.9971328277820948","0.06692050664730903","0.6097560975609756","1.622519951783857"
"helpful-sweep-225","finished","0.682649420160571","-","tobias-seibel","","2023-09-16T02:07:38.000Z","1168","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","Porpoise","2","5","/work4/seibel/data/results","3","0.5582655668258667","0.8238482475280762","40","1.1065380420011155","0.9882097591039416","0.4486138005905639","0.5582655826558266","1.2530562869979376"
"daily-sweep-223","finished","0.7002676181980375","-","tobias-seibel","","2023-09-16T01:58:43.000Z","784","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","Porpoise","2","3","/work4/seibel/data/results","14","0.5799458026885986","0.7533875107765198","40","0.9683165192283776","0.9889600471609636","0.4032861570048854","0.5799457994579946","1.2863458380195214"
"grateful-sweep-224","finished","0.6512042818911686","-","tobias-seibel","","2023-09-16T01:58:43.000Z","697","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","Porpoise","2","4","/work4/seibel/data/results","5","0.5392953753471375","0.6802167892456055","40","1.077853298695295","0.9879685950856132","0.46201750154999593","0.5392953929539296","1.2032856880261484"
"pretty-sweep-222","finished","0.6900089206066012","-","tobias-seibel","","2023-09-16T01:46:52.000Z","705","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","Porpoise","2","2","/work4/seibel/data/results","14","0.7235772609710693","0.7696477174758911","40","1.276309779628837","0.9875666550550658","0.3240869486052353","0.7235772357723578","1.5656677573267876"
"cosmic-sweep-221","finished","0.6984834968777877","-","tobias-seibel","","2023-09-16T01:45:30.000Z","785","bssvs8x8","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.00001","Porpoise","2","1","/work4/seibel/data/results","14","0.6327913403511047","0.6842818260192871","40","1.027931214181104","0.9714354618290952","0.5672688717480993","0.6327913279132791","1.2709210842018224"
