"Name","Agent","State","test/c_index","Notes","User","Tags","Created","Runtime","Sweep","activation","alpha","batchsize","bins","csv_path","d_gen_out","d_hidden","datapath","dim_hist_and_feature_path","dropout","epochs","l1_lambda","learningrate","modality","num_workers","repeating","storepath","c_index_epoch_val","c_index_last_val","c_index_max_val","epoch","test/runningloss","train/c_index","train/runningloss","valid/c_index","valid/runningloss"
"fanciful-sweep-22","7e5bfzdh","finished","0.7346119536128457","-","tobias-seibel","","2023-09-24T17:42:18.000Z","430","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","2","/work4/seibel/data/results","23","0.7667638659477234","0.7755101919174194","40","0.3259137296101264","0.8652697017604973","0.3732913051489216","0.7667638483965015","0.3011983186650928"
"treasured-sweep-24","hzf0ugiw","finished","0.7341659232827832","-","tobias-seibel","","2023-09-24T17:44:21.000Z","285","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","4","/work4/seibel/data/results","28","0.7871720194816589","0.7900874614715576","40","0.33807709506800765","0.895817144082103","0.3530782275492142","0.7871720116618076","0.3284642421805753"
"blooming-sweep-166","4godg68i","finished","0.7337198929527208","-","tobias-seibel","","2023-09-24T22:14:54.000Z","453","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","Porpoise","2","6","/work4/seibel/data/results","39","0.6209912300109863","0.6209912300109863","40","0.3549085118974219","0.8776762507033951","0.36629037059299174","0.6209912536443148","0.3901173389961134"
"ethereal-sweep-21","0z3ohh6w","finished","0.7332738626226584","-","tobias-seibel","","2023-09-24T17:42:02.000Z","434","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","1","/work4/seibel/data/results","39","0.7842565774917603","0.7842565774917603","40","0.34996489193643127","0.8978804362389131","0.35425395307813207","0.7842565597667639","0.37016766620401687"
"cosmic-sweep-169","0z3ohh6w","finished","0.7323818019625334","-","tobias-seibel","","2023-09-24T22:19:07.000Z","445","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","Porpoise","2","9","/work4/seibel/data/results","1","0.6588921546936035","0.7755101919174194","40","0.3639409127209038","0.8350438114633296","0.3841802992748955","0.6588921282798834","0.3935647171407751"
"scarlet-sweep-34","5p0zduvu","finished","0.731935771632471","-","tobias-seibel","","2023-09-24T17:56:35.000Z","844","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","PrePorpoise","2","4","/work4/seibel/data/results","32","0.7930029034614563","0.8046647310256958","40","0.3099737404067687","0.9003724644283073","0.3271100133342642","0.793002915451895","0.359477091950278"
"different-sweep-172","4godg68i","finished","0.7305976806422837","-","tobias-seibel","","2023-09-24T22:22:34.000Z","853","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","PrePorpoise","2","2","/work4/seibel/data/results","18","0.795918345451355","0.7988338470458984","40","0.34997790271937934","0.9374313352447816","0.30439305504993863","0.7959183673469388","0.39804918421120333"
"feasible-sweep-26","4godg68i","finished","0.7305976806422837","-","tobias-seibel","","2023-09-24T17:48:51.000Z","445","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","6","/work4/seibel/data/results","15","0.8600583076477051","0.8658891916275024","40","0.32282560334517046","0.895495592057665","0.35474557522356404","0.8600583090379009","0.2971909319204091"
"major-sweep-171","u9g5ea1i","finished","0.7288135593220338","-","tobias-seibel","","2023-09-24T22:20:05.000Z","603","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","PrePorpoise","2","1","/work4/seibel/data/results","25","0.7696793079376221","0.7900874614715576","40","0.41379104642804193","0.9053297248050592","0.3067385439616694","0.7696793002915452","0.4262150584230411"
"soft-sweep-23","u9g5ea1i","finished","0.7274754683318466","-","tobias-seibel","","2023-09-24T17:43:36.000Z","296","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","3","/work4/seibel/data/results","39","0.7725947499275208","0.7725947499275208","40","0.3013486037378019","0.9009083844690372","0.36111111351433145","0.7725947521865889","0.2790497359952548"
